Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	1.182	b,o	Exp - Hard 1	2	
2	left	1	0.558	O,b	Con - Easy 1	2	
3	left	1	1.198	o,b	Exp - Hard 1	2	
4	left	1	0.797	o,b	Exp - Hard 1	2	
5	right	1	0.586	B,o	Con - Easy 1	2	
6	right	1	0.579	b,o	Exp - Hard 1	2	
7	right	1	0.753	B,o	Con - Easy 1	2	
8	left	1	0.723	o,b	Exp - Hard 1	2	
9	left	1	0.608	O,b	Con - Easy 1	2	
10	right	1	1.418	b,o	Exp - Hard 1	2	
11	right	1	0.881	b,o	Exp - Hard 1	2	
12	right	1	0.676	B,o	Con - Easy 1	2	
13	left	1	0.558	O,b	Con - Easy 1	2	
14	right	1	0.587	B,o	Con - Easy 1	2	
15	left	1	0.778	o,b	Exp - Hard 1	2	
16	right	1	1.167	b,o	Exp - Hard 1	2	
17	left	1	0.847	o,b	Exp - Hard 1	2	
18	left	1	0.590	O,b	Con - Easy 1	2	
19	right	1	0.615	B,o	Con - Easy 1	2	
20	left	1	0.726	o,b	Exp - Hard 1	2	
21	left	1	0.710	O,b	Con - Easy 1	2	
22	right	1	0.727	b,o	Exp - Hard 1	2	
23	right	1	0.595	B,o	Con - Easy 1	2	
24	left	1	0.604	O,b	Con - Easy 1	2	
25	right	1	1.347	b,o	Exp - Hard 1	2	
26	right	1	0.790	B,o	Con - Easy 1	2	
27	left	0	1.063	b,o	Exp - Hard 1	2	
28	left	1	0.552	O,b	Con - Easy 1	2	
29	right	1	0.709	B,o	Con - Easy 1	2	
30	left	1	1.326	o,b	Exp - Hard 1	2	
31	left	1	1.500	o,b	Exp - Hard 1	2	
32	right	1	1.219	b,o	Exp - Hard 1	2	
33	right	1	0.619	B,o	Con - Easy 1	2	
34	right	1	1.046	b,o	Exp - Hard 1	2	
35	left	1	0.635	O,b	Con - Easy 1	2	
36	right	1	0.797	B,o	Con - Easy 1	2	
37	right	0	1.036	o,b	Exp - Hard 1	2	
38	left	1	0.558	O,b	Con - Easy 1	2	
39	left	1	0.582	O,b	Con - Easy 1	2	
40	left	1	0.956	o,b	Exp - Hard 1	2	
1	left	1	2.721	o1,o1	Exp - Hard 1 & Hard 1	
2	left	0	1.595	b1,O1	Con - Hard 1 & Easy 1	
3	left	1	1.120	o1,O1	Con - Hard 1 & Easy 1	
