Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	1.636	b,o	Exp - Hard 1	2	
2	left	0	1.020	b,o	Exp - Hard 1	2	
3	right	1	0.660	B,o	Con - Easy 1	2	
4	left	0	2.224	b,o	Exp - Hard 1	2	
5	left	1	1.392	o,b	Exp - Hard 1	2	
6	left	1	0.677	O,b	Con - Easy 1	2	
7	right	1	0.784	B,o	Con - Easy 1	2	
8	right	1	0.539	B,o	Con - Easy 1	2	
9	left	1	0.519	O,b	Con - Easy 1	2	
10	left	1	0.661	O,b	Con - Easy 1	2	
11	right	0	2.520	o,b	Exp - Hard 1	2	
12	left	1	0.542	O,b	Con - Easy 1	2	
13	left	1	1.033	o,b	Exp - Hard 1	2	
14	left	1	0.490	O,b	Con - Easy 1	2	
15	right	0	0.825	o,b	Exp - Hard 1	2	
16	left	1	1.147	O,b	Con - Easy 1	2	
17	left	1	0.498	O,b	Con - Easy 1	2	
18	left	1	2.981	o,b	Exp - Hard 1	2	
19	left	1	0.414	o,b	Exp - Hard 1	2	
20	left	1	2.376	o,b	Exp - Hard 1	2	
21	right	0	2.170	o,b	Exp - Hard 1	2	
22	right	1	0.700	b,o	Exp - Hard 1	2	
23	right	1	0.539	B,o	Con - Easy 1	2	
24	right	1	0.810	b,o	Exp - Hard 1	2	
25	left	0	0.483	B,o	Con - Easy 1	2	
26	left	0	1.451	b,o	Exp - Hard 1	2	
27	right	1	0.605	B,o	Con - Easy 1	2	
28	left	0	2.847	b,o	Exp - Hard 1	2	
29	right	1	0.699	B,o	Con - Easy 1	2	
30	left	1	4.609	o,b	Exp - Hard 1	2	
31	left	1	0.708	O,b	Con - Easy 1	2	
32	left	1	0.519	O,b	Con - Easy 1	2	
33	right	1	0.523	B,o	Con - Easy 1	2	
34	left	1	2.094	o,b	Exp - Hard 1	2	
35	left	0	1.246	b,o	Exp - Hard 1	2	
36	right	1	0.662	B,o	Con - Easy 1	2	
37	right	1	0.473	B,o	Con - Easy 1	2	
38	left	0	1.503	b,o	Exp - Hard 1	2	
39	right	1	0.992	b,o	Exp - Hard 1	2	
40	left	1	0.582	O,b	Con - Easy 1	2	
1	left	1	3.050	o1,o1	Exp - Hard 1 & Hard 1	
2	left	1	1.134	o1,O1	Con - Easy 1 & Hard 1	
3	right	1	1.416	b1,o1	Exp - Hard 1 & Hard 1	
4	left	0	2.587	b1,O1	Con - Easy 1 & Hard 1	
5	left	1	1.108	o1,O1	Con - Easy 1 & Hard 1	
6	left	1	0.902	O1,O1	Exp - Easy 1 & Easy 1	
7	left	1	1.023	o1,O1	Con - Easy 1 & Hard 1	
8	left	1	0.928	O1,O1	Exp - Easy 1 & Easy 1	
9	left	0	1.215	b1,O1	Con - Easy 1 & Hard 1	
10	right	1	1.531	o1,b1	Con - Easy 1 & Hard 1	
11	right	1	2.267	b1,o1	Exp - Hard 1 & Hard 1	
12	right	1	1.922	b1,O1	Con - Easy 1 & Hard 1	
13	right	0	4.749	o1,o1	Exp - Hard 1 & Hard 1	
14	right	1	1.003	B1,O1	Exp - Easy 1 & Easy 1	
15	left	1	1.107	o1,O1	Con - Easy 1 & Hard 1	
16	left	1	0.616	O1,O1	Exp - Easy 1 & Easy 1	
17	left	1	0.643	O1,O1	Exp - Easy 1 & Easy 1	
18	left	0	2.390	b1,O1	Con - Easy 1 & Hard 1	
19	right	1	2.695	o1,b1	Con - Easy 1 & Hard 1	
20	right	0	3.010	o1,O1	Con - Easy 1 & Hard 1	
21	left	1	0.646	O1,o1	Con - Hard 1 & Easy 1	
22	right	1	3.309	O1,b1	Con - Hard 1 & Easy 1	
23	right	1	1.415	B1,O1	Exp - Easy 1 & Easy 1	
24	left	0	1.376	O1,b1	Con - Hard 1 & Easy 1	
25	left	1	4.446	O1,o1	Con - Hard 1 & Easy 1	
26	right	0	0.895	o1,o1	Exp - Hard 1 & Hard 1	
