Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	0	5.944	o,b	Exp - Hard 1	1	
2	left	1	2.650	b,o	Exp - Hard 1	1	
3	right	1	0.864	O,b	Con - Easy 1	1	
4	left	0	11.734	o,b	Exp - Hard 2	1	
5	left	1	1.153	b,o	Exp - Hard 1	1	
6	right	1	1.001	O,b	Con - Easy 2	1	
7	right	1	2.336	o,b	Exp - Hard 2	1	
8	left	0	2.445	o,b	Exp - Hard 1	1	
9	left	1	0.949	B,o	Con - Easy 2	1	
10	left	1	0.960	B,o	Con - Easy 1	1	
11	left	1	1.377	b,o	Exp - Hard 1	1	
12	right	1	0.804	O,b	Con - Easy 1	1	
13	right	1	5.310	o,b	Exp - Hard 1	1	
14	right	1	0.817	O,b	Con - Easy 1	1	
15	left	1	0.691	B,o	Con - Easy 2	1	
16	left	0	2.395	o,b	Exp - Hard 1	1	
17	left	1	1.816	b,o	Exp - Hard 1	1	
18	right	1	1.243	o,b	Exp - Hard 2	1	
19	left	1	0.744	b,o	Exp - Hard 2	1	
20	left	1	2.141	b,o	Exp - Hard 1	1	
21	left	1	0.852	B,o	Con - Easy 1	1	
22	left	1	0.655	b,o	Exp - Hard 2	1	
23	right	1	0.698	O,b	Con - Easy 2	1	
24	left	1	1.595	B,o	Con - Easy 1	1	
25	right	1	2.936	o,b	Exp - Hard 1	1	
26	right	1	1.007	O,b	Con - Easy 2	1	
27	left	1	0.976	B,o	Con - Easy 2	1	
28	right	1	0.869	O,b	Con - Easy 2	1	
29	right	1	3.332	o,b	Exp - Hard 2	1	
30	right	1	0.953	O,b	Con - Easy 1	1	
31	right	1	0.819	O,b	Con - Easy 2	1	
32	left	1	0.726	b,o	Exp - Hard 2	1	
33	left	1	0.715	B,o	Con - Easy 2	1	
34	left	1	0.774	b,o	Exp - Hard 2	1	
35	right	1	1.384	o,b	Exp - Hard 2	1	
36	left	1	0.796	b,o	Exp - Hard 2	1	
37	left	1	0.685	B,o	Con - Easy 1	1	
38	left	1	0.719	B,o	Con - Easy 1	1	
39	left	1	0.526	B,o	Con - Easy 2	1	
40	right	1	0.666	O,b	Con - Easy 1	1	
1	right	1	23.141	O1,B1	Exp - Easy 1 & Easy 1	
2	left	1	1.420	B2,B2	Exp - Easy 2 & Easy 2	
