Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	2.524	O,b	Con - Easy 1	1	
2	right	0	1.825	b,o	Exp - Hard 1	1	
3	right	0	6.177	b,o	Exp - Hard 1	1	
4	right	1	1.383	o,b	Exp - Hard 2	1	
5	left	1	0.711	b,o	Exp - Hard 2	1	
6	left	1	0.673	B,o	Con - Easy 1	1	
7	left	1	3.286	b,o	Exp - Hard 1	1	
8	right	1	1.013	O,b	Con - Easy 1	1	
9	left	1	0.774	b,o	Exp - Hard 2	1	
10	left	0	0.778	o,b	Exp - Hard 1	1	
11	right	1	0.708	O,b	Con - Easy 1	1	
12	right	1	0.641	O,b	Con - Easy 2	1	
13	left	1	0.614	B,o	Con - Easy 2	1	
14	left	0	1.341	o,b	Exp - Hard 2	1	
15	left	1	0.784	b,o	Exp - Hard 1	1	
16	right	1	0.940	O,b	Con - Easy 2	1	
17	right	1	0.578	O,b	Con - Easy 2	1	
18	left	0	0.919	o,b	Exp - Hard 2	1	
19	left	0	0.644	o,b	Exp - Hard 1	1	
20	left	1	0.640	b,o	Exp - Hard 2	1	
21	left	1	0.884	B,o	Con - Easy 1	1	
22	right	1	0.812	O,b	Con - Easy 2	1	
23	left	1	0.674	B,o	Con - Easy 1	1	
24	left	1	2.240	B,o	Con - Easy 2	1	
25	left	0	1.162	o,b	Exp - Hard 2	1	
26	left	1	0.541	B,o	Con - Easy 1	1	
27	left	1	0.629	b,o	Exp - Hard 2	1	
28	left	1	0.608	B,o	Con - Easy 1	1	
29	right	1	1.984	o,b	Exp - Hard 1	1	
30	right	1	1.578	o,b	Exp - Hard 1	1	
31	left	1	0.733	b,o	Exp - Hard 2	1	
32	left	1	0.783	b,o	Exp - Hard 1	1	
33	right	1	0.604	O,b	Con - Easy 2	1	
34	left	0	0.826	o,b	Exp - Hard 1	1	
35	right	1	1.898	O,b	Con - Easy 1	1	
36	right	1	2.412	O,b	Con - Easy 1	1	
37	left	1	0.703	B,o	Con - Easy 2	1	
38	left	1	0.869	B,o	Con - Easy 2	1	
39	left	1	0.577	B,o	Con - Easy 2	1	
40	right	1	0.850	o,b	Exp - Hard 2	1	
1	right	1	3.467	O2,B2	Exp - Easy 2 & Easy 2	
2	left	1	1.070	B2,B2	Exp - Easy 2 & Easy 2	
3	right	1	4.164	B1,o1	Con - Easy 1 & Hard 1	
4	left	1	3.292	b2,b2	Exp - Hard 2 & Hard 2	
5	right	1	3.084	o1,b1	Exp - Hard 1 & Hard 1	
6	left	1	1.382	B1,b1	Con - Easy 1 & Hard 1	
7	right	1	3.187	o2,b2	Exp - Hard 2 & Hard 2	
8	left	1	3.169	b1,B1	Con - Hard 1 & Easy 1	
9	left	1	0.988	B2,B2	Exp - Easy 2 & Easy 2	
10	left	1	0.623	B1,B1	Exp - Easy 1 & Easy 1	
11	left	1	0.863	B2,b2	Con - Easy 2 & Hard 2	
12	left	1	3.107	b1,b1	Exp - Hard 1 & Hard 1	
13	left	1	0.720	B2,B2	Exp - Easy 2 & Easy 2	
14	left	1	0.886	b1,B1	Con - Hard 1 & Easy 1	
15	left	1	0.949	B2,B2	Exp - Easy 2 & Easy 2	
16	right	1	2.014	o2,b2	Exp - Hard 2 & Hard 2	
17	right	1	1.134	B1,o1	Con - Easy 1 & Hard 1	
18	left	1	0.886	b2,B2	Con - Hard 2 & Easy 2	
19	left	1	1.279	b2,B2	Con - Hard 2 & Easy 2	
20	left	1	0.781	B1,b1	Con - Easy 1 & Hard 1	
21	right	1	0.817	O2,B2	Exp - Easy 2 & Easy 2	
22	right	1	2.024	B1,o1	Con - Easy 1 & Hard 1	
23	left	1	2.968	B1,b1	Con - Easy 1 & Hard 1	
24	left	1	0.936	b2,B2	Con - Hard 2 & Easy 2	
25	right	1	0.839	O1,B1	Exp - Easy 1 & Easy 1	
26	right	1	1.554	o2,b2	Exp - Hard 2 & Hard 2	
27	right	1	1.244	B1,o1	Con - Easy 1 & Hard 1	
28	right	1	2.559	O2,B2	Exp - Easy 2 & Easy 2	
29	right	1	1.966	o2,b2	Exp - Hard 2 & Hard 2	
30	left	1	0.944	B2,B2	Exp - Easy 2 & Easy 2	
