Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	1	1.074	B,o	Con - Easy 1	1	
2	left	1	0.700	b,o	Exp - Hard 1	1	
3	left	1	0.965	B,o	Con - Easy 2	1	
4	right	1	0.715	O,b	Con - Easy 1	1	
5	right	1	2.233	o,b	Exp - Hard 1	1	
6	left	1	2.287	b,o	Exp - Hard 2	1	
7	right	1	1.078	O,b	Con - Easy 1	1	
8	left	0	2.036	o,b	Exp - Hard 1	1	
9	left	1	1.834	B,o	Con - Easy 1	1	
10	left	1	0.843	b,o	Exp - Hard 1	1	
11	left	1	0.967	b,o	Exp - Hard 1	1	
12	right	1	0.865	o,b	Exp - Hard 2	1	
13	left	1	0.774	B,o	Con - Easy 2	1	
14	right	1	0.795	O,b	Con - Easy 2	1	
15	right	1	1.120	O,b	Con - Easy 1	1	
16	left	1	1.681	b,o	Exp - Hard 2	1	
17	left	1	0.890	B,o	Con - Easy 2	1	
18	right	1	0.734	O,b	Con - Easy 2	1	
19	left	1	0.952	b,o	Exp - Hard 1	1	
20	left	1	0.926	b,o	Exp - Hard 2	1	
21	right	1	1.724	o,b	Exp - Hard 1	1	
22	right	1	0.835	O,b	Con - Easy 2	1	
23	left	1	0.707	b,o	Exp - Hard 2	1	
24	left	1	0.753	B,o	Con - Easy 2	1	
25	left	0	1.572	o,b	Exp - Hard 1	1	
26	left	1	0.936	b,o	Exp - Hard 2	1	
27	right	1	0.811	O,b	Con - Easy 2	1	
28	left	1	0.734	B,o	Con - Easy 2	1	
29	left	1	0.760	B,o	Con - Easy 1	1	
30	left	0	1.146	o,b	Exp - Hard 2	1	
31	right	1	4.172	o,b	Exp - Hard 2	1	
32	right	1	1.075	O,b	Con - Easy 1	1	
33	right	1	1.413	O,b	Con - Easy 1	1	
34	left	0	0.977	o,b	Exp - Hard 1	1	
35	left	0	2.111	o,b	Exp - Hard 2	1	
36	right	1	2.937	o,b	Exp - Hard 2	1	
37	left	1	0.857	B,o	Con - Easy 1	1	
38	left	1	0.819	B,o	Con - Easy 1	1	
39	left	1	0.893	b,o	Exp - Hard 1	1	
40	right	1	0.706	O,b	Con - Easy 2	1	
1	left	1	1.025	B2,B2	Exp - Easy 2 & Easy 2	
2	left	1	1.586	b2,b2	Exp - Hard 2 & Hard 2	
3	left	1	0.995	b1,B1	Con - Hard 1 & Easy 1	
4	left	1	1.763	B1,b1	Con - Easy 1 & Hard 1	
5	left	1	1.749	B2,B2	Exp - Easy 2 & Easy 2	
6	left	1	2.255	B2,b2	Con - Easy 2 & Hard 2	
7	left	1	2.715	B1,b1	Con - Easy 1 & Hard 1	
8	right	1	2.125	o1,b1	Exp - Hard 1 & Hard 1	
9	right	1	2.251	o2,B2	Con - Hard 2 & Easy 2	
10	left	1	3.447	b2,b2	Exp - Hard 2 & Hard 2	
11	left	1	1.886	B1,b1	Con - Easy 1 & Hard 1	
12	left	1	2.515	B1,b1	Con - Easy 1 & Hard 1	
13	left	1	2.212	b2,b2	Exp - Hard 2 & Hard 2	
14	right	1	1.275	o2,B2	Con - Hard 2 & Easy 2	
15	right	1	1.865	o2,b2	Exp - Hard 2 & Hard 2	
16	right	1	0.859	O1,B1	Exp - Easy 1 & Easy 1	
17	left	1	3.423	b1,b1	Exp - Hard 1 & Hard 1	
18	left	1	1.653	B2,B2	Exp - Easy 2 & Easy 2	
19	left	1	3.482	b1,b1	Exp - Hard 1 & Hard 1	
20	right	1	1.208	o1,B1	Con - Hard 1 & Easy 1	
21	left	1	3.841	b1,B1	Con - Hard 1 & Easy 1	
22	right	1	1.003	O2,B2	Exp - Easy 2 & Easy 2	
23	left	1	1.283	B1,b1	Con - Easy 1 & Hard 1	
24	left	1	1.186	B1,B1	Exp - Easy 1 & Easy 1	
