Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	0	0.875	o,b	Exp - Hard 1	2	
2	right	1	0.656	b,o	Exp - Hard 1	2	
3	right	0	0.440	o,b	Exp - Hard 1	2	
4	left	0	0.557	b,o	Exp - Hard 2	2	
5	left	1	0.538	O,b	Con - Easy 2	2	
6	right	0	0.972	o,b	Exp - Hard 1	2	
7	left	1	0.505	O,b	Con - Easy 2	2	
8	right	1	0.406	B,o	Con - Easy 2	2	
9	left	0	0.472	b,o	Exp - Hard 2	2	
10	right	1	0.343	B,o	Con - Easy 2	2	
11	right	1	0.374	B,o	Con - Easy 1	2	
12	right	1	0.520	b,o	Exp - Hard 1	2	
13	left	1	0.721	O,b	Con - Easy 2	2	
14	left	1	0.572	O,b	Con - Easy 1	2	
15	right	0	0.771	o,b	Exp - Hard 1	2	
16	right	0	0.657	o,b	Exp - Hard 1	2	
17	right	1	0.554	B,o	Con - Easy 1	2	
18	left	1	0.824	o,b	Exp - Hard 2	2	
19	right	1	0.573	b,o	Exp - Hard 1	2	
20	right	1	0.906	B,o	Con - Easy 2	2	
21	right	1	2.522	B,o	Con - Easy 1	2	
22	left	1	0.489	O,b	Con - Easy 1	2	
23	right	1	0.853	b,o	Exp - Hard 1	2	
24	right	1	0.869	b,o	Exp - Hard 2	2	
25	left	1	0.641	O,b	Con - Easy 2	2	
26	right	0	1.223	o,b	Exp - Hard 2	2	
27	right	1	0.692	b,o	Exp - Hard 2	2	
28	left	1	0.686	O,b	Con - Easy 1	2	
29	left	1	0.940	O,b	Con - Easy 2	2	
30	right	0	0.823	o,b	Exp - Hard 2	2	
31	right	1	0.608	B,o	Con - Easy 2	2	
32	right	1	0.408	B,o	Con - Easy 1	2	
33	right	1	0.556	b,o	Exp - Hard 2	2	
34	left	1	0.553	O,b	Con - Easy 1	2	
35	left	1	0.588	o,b	Exp - Hard 2	2	
36	left	1	0.469	O,b	Con - Easy 1	2	
37	right	1	0.453	B,o	Con - Easy 1	2	
38	right	1	1.404	B,o	Con - Easy 2	2	
39	right	1	3.487	b,o	Exp - Hard 1	2	
40	left	1	3.455	o,b	Exp - Hard 2	2	
1	left	1	1.190	O1,o1	Con - Easy 1 & Hard 1	
2	right	0	0.889	o2,o2	Exp - Hard 2 & Hard 2	
3	right	1	0.536	b2,o2	Exp - Hard 2 & Hard 2	
4	right	1	0.609	b2,o2	Exp - Hard 2 & Hard 2	
5	left	1	0.843	O2,o2	Exp - Easy 2 & Hard 2	
6	left	1	0.611	o1,O1	Con - Hard 1 & Easy 1	
7	right	0	0.540	o2,o2	Exp - Hard 2 & Hard 2	
8	left	1	1.055	o2,O2	Con - Hard 2 & Easy 2	
9	left	1	0.656	O2,o2	Exp - Easy 2 & Hard 2	
10	left	1	0.655	O1,o1	Con - Easy 1 & Hard 1	
11	right	1	0.907	b1,o1	Exp - Hard 1 & Hard 1	
12	right	1	1.139	O2,b2	Con - Easy 2 & Hard 2	
13	right	1	1.238	O1,b1	Con - Easy 1 & Hard 1	
14	right	1	0.622	b2,o2	Exp - Hard 2 & Hard 2	
15	left	1	0.789	O2,o2	Exp - Easy 2 & Hard 2	
16	left	0	1.193	b2,O2	Con - Hard 2 & Easy 2	
17	left	1	1.722	O2,o2	Exp - Easy 2 & Hard 2	
18	right	1	1.055	O2,b2	Con - Easy 2 & Hard 2	
19	right	0	0.610	O2,o2	Exp - Easy 2 & Hard 2	
20	right	1	0.889	O2,b2	Con - Easy 2 & Hard 2	
21	right	0	0.693	o2,o2	Exp - Hard 2 & Hard 2	
22	right	1	0.806	B2,O2	Exp - Easy 2 & Easy 2	
23	right	1	0.945	b2,o2	Exp - Hard 2 & Hard 2	
24	right	1	0.672	b2,o2	Exp - Hard 2 & Hard 2	
25	right	0	1.406	o2,O2	Con - Hard 2 & Easy 2	
26	right	1	0.940	O2,b2	Con - Easy 2 & Hard 2	
27	right	1	1.261	O2,b2	Con - Easy 2 & Hard 2	
28	right	1	1.205	B1,O1	Exp - Easy 1 & Easy 1	
29	left	1	0.693	o1,O1	Con - Hard 1 & Easy 1	
30	right	1	1.274	b2,O2	Con - Hard 2 & Easy 2	
31	right	1	1.805	O1,b1	Con - Easy 1 & Hard 1	
32	left	0	3.028	O2,b2	Con - Easy 2 & Hard 2	
33	right	1	1.238	O1,b1	Con - Easy 1 & Hard 1	
34	left	1	1.358	o2,O2	Con - Hard 2 & Easy 2	
35	right	1	0.775	b1,O1	Con - Hard 1 & Easy 1	
36	left	1	0.889	O2,O2	Exp - Easy 2 & Easy 2	
37	left	0	1.555	b2,O2	Con - Hard 2 & Easy 2	
38	left	1	4.921	o1,O1	Con - Hard 1 & Easy 1	
