Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	1	2.050	O,b	Con - Easy 1	2	
2	right	1	0.606	B,o	Con - Easy 1	2	
3	left	1	0.639	o,b	Exp - Hard 1	2	
4	left	1	0.805	o,b	Exp - Hard 2	2	
5	left	1	0.389	O,b	Con - Easy 2	2	
6	right	1	0.371	B,o	Con - Easy 2	2	
7	right	1	0.440	B,o	Con - Easy 2	2	
8	right	1	0.374	B,o	Con - Easy 2	2	
9	right	1	0.924	b,o	Exp - Hard 1	2	
10	right	1	0.626	B,o	Con - Easy 2	2	
11	left	1	0.925	O,b	Con - Easy 1	2	
12	left	1	2.687	o,b	Exp - Hard 2	2	
13	left	1	1.928	O,b	Con - Easy 1	2	
14	right	1	0.805	b,o	Exp - Hard 1	2	
15	left	1	0.720	o,b	Exp - Hard 2	2	
16	right	1	0.823	b,o	Exp - Hard 2	2	
17	right	1	0.625	b,o	Exp - Hard 2	2	
18	right	1	0.594	B,o	Con - Easy 2	2	
19	right	1	1.123	b,o	Exp - Hard 1	2	
20	right	1	0.540	B,o	Con - Easy 1	2	
21	right	1	0.491	B,o	Con - Easy 1	2	
22	right	1	0.456	B,o	Con - Easy 1	2	
23	left	1	0.822	O,b	Con - Easy 2	2	
24	left	1	1.307	O,b	Con - Easy 1	2	
25	right	1	0.639	b,o	Exp - Hard 2	2	
26	left	1	0.706	O,b	Con - Easy 1	2	
27	left	1	2.123	o,b	Exp - Hard 2	2	
28	left	1	0.790	o,b	Exp - Hard 1	2	
29	right	1	0.655	b,o	Exp - Hard 2	2	
30	left	1	0.756	o,b	Exp - Hard 2	2	
31	left	1	0.484	o,b	Exp - Hard 1	2	
32	right	1	0.761	b,o	Exp - Hard 1	2	
33	left	1	0.523	o,b	Exp - Hard 1	2	
34	right	1	0.555	b,o	Exp - Hard 2	2	
35	left	1	0.572	O,b	Con - Easy 2	2	
36	right	1	0.572	b,o	Exp - Hard 1	2	
37	right	0	0.991	o,b	Exp - Hard 1	2	
38	left	1	0.924	O,b	Con - Easy 2	2	
39	left	1	0.655	O,b	Con - Easy 2	2	
40	right	1	0.427	B,o	Con - Easy 1	2	
1	left	0	0.730	O1,b1	Exp - Easy 1 & Hard 1	
2	right	1	0.859	O1,B1	Exp - Easy 1 & Easy 1	
3	left	0	0.568	O1,b1	Exp - Easy 1 & Hard 1	
4	right	1	0.759	O2,B2	Exp - Easy 2 & Easy 2	
5	left	0	0.607	O2,b2	Exp - Easy 2 & Hard 2	
6	left	0	0.525	b1,O1	Exp - Hard 1 & Easy 1	
7	left	0	0.510	o2,b2	Exp - Hard 2 & Hard 2	
8	left	0	0.620	O2,b2	Exp - Easy 2 & Hard 2	
9	left	0	0.617	o2,b2	Exp - Hard 2 & Hard 2	
10	left	0	0.721	o2,b2	Exp - Hard 2 & Hard 2	
11	left	0	0.890	o1,b1	Exp - Hard 1 & Hard 1	
12	left	0	0.625	b2,O2	Exp - Hard 2 & Easy 2	
13	right	1	1.241	O1,B1	Exp - Easy 1 & Easy 1	
14	left	0	1.973	o1,b1	Exp - Hard 1 & Hard 1	
15	left	0	0.677	O1,b1	Exp - Easy 1 & Hard 1	
16	left	0	0.596	o1,b1	Exp - Hard 1 & Hard 1	
17	left	0	0.710	b2,O2	Exp - Hard 2 & Easy 2	
18	left	0	1.140	b2,O2	Exp - Hard 2 & Easy 2	
19	left	0	0.858	O1,b1	Exp - Easy 1 & Hard 1	
20	left	0	0.654	o2,b2	Exp - Hard 2 & Hard 2	
21	left	0	0.540	b2,O2	Exp - Hard 2 & Easy 2	
22	left	0	0.807	b1,O1	Exp - Hard 1 & Easy 1	
23	right	1	1.020	o1,b1	Exp - Hard 1 & Hard 1	
24	left	0	0.890	O2,b2	Exp - Easy 2 & Hard 2	
25	left	0	1.026	O2,b2	Exp - Easy 2 & Hard 2	
26	left	0	1.207	O2,b2	Exp - Easy 2 & Hard 2	
27	left	0	0.990	b2,O2	Exp - Hard 2 & Easy 2	
28	right	1	0.906	o2,b2	Exp - Hard 2 & Hard 2	
29	right	1	0.691	o1,b1	Exp - Hard 1 & Hard 1	
30	left	0	1.918	O1,b1	Exp - Easy 1 & Hard 1	
31	left	0	0.763	O1,b1	Exp - Easy 1 & Hard 1	
32	right	1	1.372	O1,B1	Exp - Easy 1 & Easy 1	
33	left	0	0.792	o1,b1	Exp - Hard 1 & Hard 1	
34	left	0	0.901	O1,b1	Exp - Easy 1 & Hard 1	
35	left	0	0.858	b2,O2	Exp - Hard 2 & Easy 2	
36	right	1	0.990	o1,b1	Exp - Hard 1 & Hard 1	
