Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.366	O,b	Con - Easy 2	1	
2	left	1	0.236	B,o	Con - Easy 1	1	
3	right	0	0.269	B,o	Con - Easy 2	1	
4	left	0	0.203	O,b	Con - Easy 1	1	
5	right	0	0.202	b,o	Exp - Hard 1	1	
6	left	0	0.402	O,b	Con - Easy 1	1	
7	left	0	0.036	O,b	Con - Easy 1	1	
8	left	0	0.152	o,b	Exp - Hard 2	1	
9	left	1	0.203	b,o	Exp - Hard 2	1	
10	right	1	0.072	O,b	Con - Easy 2	1	
11	right	0	0.237	B,o	Con - Easy 2	1	
12	left	1	0.104	B,o	Con - Easy 2	1	
13	right	0	0.203	b,o	Exp - Hard 2	1	
14	left	0	0.052	o,b	Exp - Hard 1	1	
15	right	1	0.170	o,b	Exp - Hard 1	1	
16	right	1	0.152	O,b	Con - Easy 2	1	
17	right	1	0.237	O,b	Con - Easy 1	1	
18	right	1	0.203	O,b	Con - Easy 2	1	
19	right	0	0.303	b,o	Exp - Hard 2	1	
20	right	0	0.120	b,o	Exp - Hard 2	1	
21	right	0	0.104	B,o	Con - Easy 2	1	
22	right	0	0.155	b,o	Exp - Hard 1	1	
23	left	0	2.022	O,b	Con - Easy 1	1	
24	right	0	0.504	b,o	Exp - Hard 2	1	
25	right	0	0.621	B,o	Con - Easy 1	1	
26	right	0	0.506	B,o	Con - Easy 1	1	
27	right	1	0.137	o,b	Exp - Hard 2	1	
28	left	0	0.219	o,b	Exp - Hard 2	1	
29	right	1	0.020	o,b	Exp - Hard 2	1	
30	right	0	0.069	b,o	Exp - Hard 1	1	
31	right	0	0.187	B,o	Con - Easy 2	1	
32	left	0	0.339	o,b	Exp - Hard 1	1	
33	right	0	0.070	b,o	Exp - Hard 1	1	
34	left	0	0.235	o,b	Exp - Hard 2	1	
35	right	0	0.069	B,o	Con - Easy 1	1	
36	right	0	0.186	B,o	Con - Easy 1	1	
37	right	1	0.138	o,b	Exp - Hard 1	1	
38	right	1	0.120	O,b	Con - Easy 2	1	
39	left	1	0.070	b,o	Exp - Hard 1	1	
40	right	1	0.235	o,b	Exp - Hard 1	1	
1	right	0	0.174	B1,B1	Exp - Easy 1 & Easy 1	
2	right	0	0.106	B2,o2	Con - Easy 2 & Hard 2	
3	right	0	0.036	B1,B1	Exp - Easy 1 & Easy 1	
4	right	0	0.053	b1,b1	Exp - Hard 1 & Hard 1	
5	right	1	0.052	o1,b1	Exp - Hard 1 & Hard 1	
6	left	0	0.173	o1,b1	Exp - Hard 1 & Hard 1	
7	left	1	0.070	o2,b2	Exp - Hard 2 & Hard 2	
8	right	1	0.706	o1,b1	Exp - Hard 1 & Hard 1	
9	right	0	0.569	o1,B1	Con - Hard 1 & Easy 1	
10	right	1	0.289	B2,B2	Exp - Easy 2 & Easy 2	
11	right	0	0.603	O1,B1	Exp - Easy 1 & Easy 1	
12	right	0	0.153	B2,o2	Con - Easy 2 & Hard 2	
13	left	0	0.204	o2,B2	Con - Hard 2 & Easy 2	
14	left	0	0.089	o1,b1	Exp - Hard 1 & Hard 1	
15	right	0	0.121	o1,B1	Con - Hard 1 & Easy 1	
16	left	0	0.304	B2,b2	Con - Easy 2 & Hard 2	
17	right	0	0.136	b2,B2	Con - Hard 2 & Easy 2	
18	left	1	0.154	B1,B1	Exp - Easy 1 & Easy 1	
