Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	2.176	o,b	Exp - Hard 2	1	
2	right	1	1.222	O,b	Con - Easy 2	1	
3	left	1	0.521	B,o	Con - Easy 2	1	
4	left	1	0.405	B,o	Con - Easy 2	1	
5	left	1	0.403	b,o	Exp - Hard 2	1	
6	right	1	0.521	O,b	Con - Easy 2	1	
7	left	1	0.839	b,o	Exp - Hard 2	1	
8	left	1	0.783	B,o	Con - Easy 2	1	
9	left	1	1.371	b,o	Exp - Hard 1	1	
10	left	1	0.687	B,o	Con - Easy 1	1	
11	right	1	0.924	O,b	Con - Easy 2	1	
12	left	1	0.956	b,o	Exp - Hard 2	1	
13	left	1	4.840	b,o	Exp - Hard 2	1	
14	left	1	0.639	B,o	Con - Easy 1	1	
15	left	1	0.655	b,o	Exp - Hard 2	1	
16	left	0	2.938	o,b	Exp - Hard 2	1	
17	left	1	0.506	B,o	Con - Easy 2	1	
18	right	1	0.388	O,b	Con - Easy 1	1	
19	left	1	0.534	B,o	Con - Easy 1	1	
20	left	1	0.422	b,o	Exp - Hard 1	1	
21	left	0	0.886	o,b	Exp - Hard 1	1	
22	right	1	0.637	O,b	Con - Easy 1	1	
23	left	1	0.673	B,o	Con - Easy 2	1	
24	left	0	0.839	o,b	Exp - Hard 1	1	
25	left	1	0.506	b,o	Exp - Hard 1	1	
26	right	1	0.590	O,b	Con - Easy 1	1	
27	left	0	0.590	o,b	Exp - Hard 1	1	
28	right	1	1.537	o,b	Exp - Hard 2	1	
29	left	1	0.590	b,o	Exp - Hard 1	1	
30	left	0	0.970	o,b	Exp - Hard 2	1	
31	right	1	3.870	O,b	Con - Easy 1	1	
32	left	0	0.870	o,b	Exp - Hard 1	1	
33	left	1	0.455	B,o	Con - Easy 1	1	
34	left	1	0.422	b,o	Exp - Hard 1	1	
35	left	1	0.521	B,o	Con - Easy 1	1	
36	left	0	0.571	o,b	Exp - Hard 2	1	
37	left	0	0.487	o,b	Exp - Hard 1	1	
38	right	1	0.820	O,b	Con - Easy 1	1	
39	right	1	0.486	O,b	Con - Easy 2	1	
40	right	1	0.475	O,b	Con - Easy 2	1	
1	left	0	0.783	B2,B2	Exp - Easy 2 & Easy 2	
2	right	1	2.591	B1,o1	Con - Easy 1 & Hard 1	
3	left	1	1.008	B1,b1	Con - Easy 1 & Hard 1	
4	right	1	1.406	O2,B2	Exp - Easy 2 & Easy 2	
5	right	1	2.605	o1,b1	Exp - Hard 1 & Hard 1	
6	right	1	0.838	O1,B1	Exp - Easy 1 & Easy 1	
7	right	1	1.525	O1,B1	Exp - Easy 1 & Easy 1	
8	left	0	1.237	B1,o1	Con - Easy 1 & Hard 1	
9	right	1	1.506	O1,B1	Exp - Easy 1 & Easy 1	
10	left	1	0.653	b1,B1	Con - Hard 1 & Easy 1	
11	left	1	0.871	b2,b2	Exp - Hard 2 & Hard 2	
12	left	1	1.088	b2,b2	Exp - Hard 2 & Hard 2	
13	left	1	0.821	b1,B1	Con - Hard 1 & Easy 1	
14	left	1	0.621	B1,B1	Exp - Easy 1 & Easy 1	
15	left	0	3.321	o2,B2	Con - Hard 2 & Easy 2	
16	left	0	4.405	B2,B2	Exp - Easy 2 & Easy 2	
17	right	1	1.872	o2,b2	Exp - Hard 2 & Hard 2	
18	right	1	0.903	o2,B2	Con - Hard 2 & Easy 2	
19	left	0	1.804	o2,b2	Exp - Hard 2 & Hard 2	
20	right	1	0.733	O1,B1	Exp - Easy 1 & Easy 1	
21	right	1	1.984	B2,o2	Con - Easy 2 & Hard 2	
22	left	1	1.038	B1,b1	Con - Easy 1 & Hard 1	
23	left	1	0.608	b1,B1	Con - Hard 1 & Easy 1	
24	left	1	0.756	B1,b1	Con - Easy 1 & Hard 1	
25	right	1	0.704	O2,B2	Exp - Easy 2 & Easy 2	
26	left	0	0.692	o2,b2	Exp - Hard 2 & Hard 2	
27	left	0	0.926	o2,b2	Exp - Hard 2 & Hard 2	
28	right	1	0.571	O1,B1	Exp - Easy 1 & Easy 1	
29	left	1	0.937	b2,b2	Exp - Hard 2 & Hard 2	
30	left	0	6.789	B2,o2	Con - Easy 2 & Hard 2	
31	left	0	0.505	B2,B2	Exp - Easy 2 & Easy 2	
32	left	0	0.776	B2,B2	Exp - Easy 2 & Easy 2	
33	left	1	0.555	b1,B1	Con - Hard 1 & Easy 1	
34	left	1	0.788	b1,b1	Exp - Hard 1 & Hard 1	
35	left	0	0.538	o2,B2	Con - Hard 2 & Easy 2	
36	left	0	1.437	o1,b1	Exp - Hard 1 & Hard 1	
37	left	0	1.677	B2,o2	Con - Easy 2 & Hard 2	
