Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	right	1	0.885	b,o	Exp - Hard 1	2	
2	right	1	1.586	B,o	Con - Easy 1	2	
3	right	1	1.589	B,o	Con - Easy 2	2	
4	left	1	0.721	O,b	Con - Easy 1	2	
5	right	1	1.137	B,o	Con - Easy 1	2	
6	left	1	0.948	o,b	Exp - Hard 1	2	
7	left	1	0.666	O,b	Con - Easy 1	2	
8	left	1	0.711	O,b	Con - Easy 1	2	
9	right	1	0.700	B,o	Con - Easy 1	2	
10	right	0	0.893	O,b	Con - Easy 2	2	
11	right	1	1.519	B,o	Con - Easy 2	2	
12	right	1	1.088	B,o	Con - Easy 2	2	
13	right	1	1.563	b,o	Exp - Hard 2	2	
14	left	1	1.200	o,b	Exp - Hard 2	2	
15	right	1	0.684	B,o	Con - Easy 2	2	
16	left	1	0.741	O,b	Con - Easy 1	2	
17	right	1	0.830	B,o	Con - Easy 1	2	
18	right	1	1.224	b,o	Exp - Hard 2	2	
19	right	1	0.994	B,o	Con - Easy 1	2	
20	left	1	1.008	o,b	Exp - Hard 2	2	
21	left	1	1.012	o,b	Exp - Hard 2	2	
22	left	1	0.998	o,b	Exp - Hard 2	2	
23	left	0	1.131	b,o	Exp - Hard 1	2	
24	left	0	1.045	b,o	Exp - Hard 1	2	
25	left	1	1.077	o,b	Exp - Hard 1	2	
26	right	1	1.549	b,o	Exp - Hard 2	2	
27	left	0	1.297	b,o	Exp - Hard 1	2	
28	left	1	1.702	o,b	Exp - Hard 1	2	
29	left	1	1.421	o,b	Exp - Hard 1	2	
30	left	1	0.786	O,b	Con - Easy 2	2	
31	left	1	1.397	o,b	Exp - Hard 2	2	
32	left	1	2.316	o,b	Exp - Hard 1	2	
33	right	1	1.767	b,o	Exp - Hard 2	2	
34	left	1	1.020	O,b	Con - Easy 2	2	
35	right	1	1.244	b,o	Exp - Hard 1	2	
36	left	1	0.844	O,b	Con - Easy 2	2	
37	right	1	1.652	b,o	Exp - Hard 2	2	
38	right	1	1.713	B,o	Con - Easy 2	2	
39	left	1	0.657	O,b	Con - Easy 2	2	
40	left	1	0.912	O,b	Con - Easy 1	2	
1	right	1	1.908	b2,o2	Exp - Hard 2 & Hard 2	
2	left	1	1.257	o2,O2	Con - Hard 2 & Easy 2	
3	right	1	1.759	b2,O2	Con - Hard 2 & Easy 2	
4	left	0	2.219	B2,O2	Exp - Easy 2 & Easy 2	
5	left	1	0.921	O1,O1	Exp - Easy 1 & Easy 1	
6	left	1	2.500	O2,o2	Exp - Easy 2 & Hard 2	
7	right	1	2.753	b1,o1	Exp - Hard 1 & Hard 1	
8	right	1	1.302	b2,o2	Exp - Hard 2 & Hard 2	
9	left	1	1.198	o2,O2	Con - Hard 2 & Easy 2	
10	right	1	3.168	b2,O2	Con - Hard 2 & Easy 2	
11	right	0	2.958	o2,O2	Con - Hard 2 & Easy 2	
12	right	1	2.727	b2,o2	Exp - Hard 2 & Hard 2	
13	left	0	1.951	b1,O1	Con - Hard 1 & Easy 1	
14	left	0	3.686	b1,o1	Exp - Hard 1 & Hard 1	
15	right	1	4.779	b2,O2	Con - Hard 2 & Easy 2	
16	left	0	2.944	B1,O1	Exp - Easy 1 & Easy 1	
17	left	0	2.633	B2,O2	Exp - Easy 2 & Easy 2	
18	left	0	3.542	B2,O2	Exp - Easy 2 & Easy 2	
19	right	1	3.024	B1,O1	Exp - Easy 1 & Easy 1	
20	left	0	3.261	B1,O1	Exp - Easy 1 & Easy 1	
21	right	0	1.912	o2,o2	Exp - Hard 2 & Hard 2	
22	left	1	1.065	O1,O1	Exp - Easy 1 & Easy 1	
23	left	0	2.849	b2,O2	Con - Hard 2 & Easy 2	
24	right	0	3.285	o2,O2	Con - Hard 2 & Easy 2	
25	right	0	4.865	o1,O1	Con - Hard 1 & Easy 1	
26	right	1	2.503	b1,o1	Exp - Hard 1 & Hard 1	
27	right	1	2.080	b2,O2	Con - Hard 2 & Easy 2	
28	right	0	2.356	o2,o2	Exp - Hard 2 & Hard 2	
29	right	1	2.697	B2,O2	Exp - Easy 2 & Easy 2	
30	right	1	1.548	b1,o1	Exp - Hard 1 & Hard 1	
31	left	0	1.719	B1,O1	Exp - Easy 1 & Easy 1	
32	left	0	3.063	b2,O2	Con - Hard 2 & Easy 2	
33	right	1	3.330	b2,o2	Exp - Hard 2 & Hard 2	
34	left	1	3.217	o2,o2	Exp - Hard 2 & Hard 2	
35	right	0	3.742	o2,O2	Con - Hard 2 & Easy 2	
36	left	0	1.923	B2,O2	Exp - Easy 2 & Easy 2	
37	left	0	1.799	O1,b1	Con - Easy 1 & Hard 1	
38	left	1	1.303	O1,O1	Exp - Easy 1 & Easy 1	
39	right	1	2.200	b2,O2	Con - Hard 2 & Easy 2	
40	right	1	4.244	O1,b1	Con - Easy 1 & Hard 1	
41	left	1	2.694	O1,o1	Con - Easy 1 & Hard 1	
42	left	1	2.764	o1,O1	Con - Hard 1 & Easy 1	
43	left	1	1.589	O2,O2	Exp - Easy 2 & Easy 2	
44	left	0	1.293	b1,O1	Con - Hard 1 & Easy 1	
45	left	0	2.503	b1,o1	Exp - Hard 1 & Hard 1	
46	left	1	1.773	O1,o1	Con - Easy 1 & Hard 1	
47	left	0	2.606	O1,b1	Con - Easy 1 & Hard 1	
48	left	1	2.042	O1,o1	Con - Easy 1 & Hard 1	
49	left	1	2.001	o1,O1	Con - Hard 1 & Easy 1	
50	left	0	2.265	O2,b2	Con - Easy 2 & Hard 2	
51	right	0	3.128	o1,o1	Exp - Hard 1 & Hard 1	
52	right	0	3.507	O1,o1	Con - Easy 1 & Hard 1	
53	right	1	2.850	B1,O1	Exp - Easy 1 & Easy 1	
54	left	1	1.127	o1,O1	Con - Hard 1 & Easy 1	
55	right	0	2.118	O2,o2	Exp - Easy 2 & Hard 2	
56	left	1	1.197	O1,O1	Exp - Easy 1 & Easy 1	
57	left	1	1.194	O1,O1	Exp - Easy 1 & Easy 1	
58	right	0	3.057	O2,o2	Exp - Easy 2 & Hard 2	
59	right	0	2.641	O1,o1	Con - Easy 1 & Hard 1	
60	left	0	3.169	b1,o1	Exp - Hard 1 & Hard 1	
61	left	1	2.111	O2,O2	Exp - Easy 2 & Easy 2	
62	right	0	2.338	o2,o2	Exp - Hard 2 & Hard 2	
63	right	0	2.263	o1,o1	Exp - Hard 1 & Hard 1	
64	left	1	1.383	O2,o2	Exp - Easy 2 & Hard 2	
65	left	0	3.254	b2,O2	Con - Hard 2 & Easy 2	
66	left	1	1.755	O2,o2	Exp - Easy 2 & Hard 2	
67	left	0	2.216	b1,O1	Con - Hard 1 & Easy 1	
68	left	0	2.219	B1,O1	Exp - Easy 1 & Easy 1	
69	right	0	1.686	o1,o1	Exp - Hard 1 & Hard 1	
70	right	1	2.532	b2,o2	Exp - Hard 2 & Hard 2	
71	left	0	2.201	O1,b1	Con - Easy 1 & Hard 1	
72	left	0	3.724	O2,b2	Con - Easy 2 & Hard 2	
73	left	1	2.254	O2,O2	Exp - Easy 2 & Easy 2	
74	left	0	2.835	b1,O1	Con - Hard 1 & Easy 1	
75	left	1	1.760	o1,O1	Con - Hard 1 & Easy 1	
76	right	1	2.729	b1,O1	Con - Hard 1 & Easy 1	
77	right	1	3.512	b2,o2	Exp - Hard 2 & Hard 2	
78	left	1	1.842	O2,o2	Exp - Easy 2 & Hard 2	
79	right	1	2.316	b1,O1	Con - Hard 1 & Easy 1	
80	left	1	2.579	O1,o1	Con - Easy 1 & Hard 1	
81	left	1	1.922	o2,O2	Con - Hard 2 & Easy 2	
82	right	1	2.730	b2,O2	Con - Hard 2 & Easy 2	
83	left	1	1.089	O1,O1	Exp - Easy 1 & Easy 1	
84	right	0	1.339	o2,o2	Exp - Hard 2 & Hard 2	
85	right	0	2.502	O2,o2	Exp - Easy 2 & Hard 2	
86	left	0	1.913	B1,O1	Exp - Easy 1 & Easy 1	
87	right	1	1.488	b1,o1	Exp - Hard 1 & Hard 1	
88	left	0	2.556	O1,b1	Con - Easy 1 & Hard 1	
89	left	1	1.123	O2,O2	Exp - Easy 2 & Easy 2	
90	right	0	1.402	O2,O2	Exp - Easy 2 & Easy 2	
91	right	1	2.161	b2,O2	Con - Hard 2 & Easy 2	
92	right	1	2.319	b1,O1	Con - Hard 1 & Easy 1	
93	left	1	2.116	o2,O2	Con - Hard 2 & Easy 2	
94	right	1	2.404	B1,O1	Exp - Easy 1 & Easy 1	
95	left	1	4.379	O2,O2	Exp - Easy 2 & Easy 2	
96	right	1	2.570	B2,O2	Exp - Easy 2 & Easy 2	
97	left	1	1.352	O1,O1	Exp - Easy 1 & Easy 1	
98	left	1	1.613	O1,o1	Con - Easy 1 & Hard 1	
99	left	0	2.040	b2,o2	Exp - Hard 2 & Hard 2	
100	left	0	2.003	B1,O1	Exp - Easy 1 & Easy 1	
101	left	1	0.962	O1,O1	Exp - Easy 1 & Easy 1	
102	left	1	1.296	O2,o2	Exp - Easy 2 & Hard 2	
103	left	0	1.349	O1,b1	Con - Easy 1 & Hard 1	
104	left	0	1.758	B1,O1	Exp - Easy 1 & Easy 1	
105	left	0	1.477	B2,O2	Exp - Easy 2 & Easy 2	
106	left	1	1.312	o1,O1	Con - Hard 1 & Easy 1	
107	right	1	1.756	O2,b2	Con - Easy 2 & Hard 2	
108	left	0	2.008	B2,O2	Exp - Easy 2 & Easy 2	
109	right	1	1.602	b2,o2	Exp - Hard 2 & Hard 2	
110	left	0	2.375	B2,O2	Exp - Easy 2 & Easy 2	
111	right	0	2.151	O2,o2	Exp - Easy 2 & Hard 2	
112	left	1	2.348	O2,o2	Exp - Easy 2 & Hard 2	
113	right	1	2.011	b1,o1	Exp - Hard 1 & Hard 1	
114	right	0	2.109	o2,O2	Con - Hard 2 & Easy 2	
115	left	0	1.611	B1,O1	Exp - Easy 1 & Easy 1	
116	left	1	1.653	o1,o1	Exp - Hard 1 & Hard 1	
117	left	1	1.611	o1,o1	Exp - Hard 1 & Hard 1	
118	right	0	1.771	o1,o1	Exp - Hard 1 & Hard 1	
119	left	0	1.275	b1,O1	Con - Hard 1 & Easy 1	
120	left	1	1.134	o2,O2	Con - Hard 2 & Easy 2	
121	left	0	2.167	B1,O1	Exp - Easy 1 & Easy 1	
122	left	1	1.442	o2,O2	Con - Hard 2 & Easy 2	
123	left	1	1.511	o1,o1	Exp - Hard 1 & Hard 1	
124	right	1	1.817	B2,O2	Exp - Easy 2 & Easy 2	
125	right	0	1.947	o2,O2	Con - Hard 2 & Easy 2	
126	left	0	1.385	O2,b2	Con - Easy 2 & Hard 2	
127	right	0	2.210	o1,o1	Exp - Hard 1 & Hard 1	
128	left	1	1.196	O2,O2	Exp - Easy 2 & Easy 2	
129	left	1	1.333	O2,O2	Exp - Easy 2 & Easy 2	
130	left	1	1.625	o1,O1	Con - Hard 1 & Easy 1	
131	left	1	2.036	o1,O1	Con - Hard 1 & Easy 1	
132	right	0	2.275	o2,o2	Exp - Hard 2 & Hard 2	
133	left	1	3.342	o1,o1	Exp - Hard 1 & Hard 1	
134	left	0	2.065	O1,b1	Con - Easy 1 & Hard 1	
135	left	1	1.840	O2,o2	Exp - Easy 2 & Hard 2	
136	left	1	1.848	O1,o1	Con - Easy 1 & Hard 1	
