Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	1	1.106	b,o	Exp - Hard 1	1	
2	right	1	0.695	O,b	Con - Easy 2	1	
3	left	1	0.977	B,o	Con - Easy 2	1	
4	left	1	0.845	B,o	Con - Easy 1	1	
5	right	1	0.673	O,b	Con - Easy 2	1	
6	right	1	0.802	O,b	Con - Easy 1	1	
7	right	0	1.025	b,o	Exp - Hard 2	1	
8	right	1	0.713	O,b	Con - Easy 2	1	
9	right	1	0.647	O,b	Con - Easy 2	1	
10	left	1	0.993	b,o	Exp - Hard 2	1	
11	left	1	0.969	b,o	Exp - Hard 1	1	
12	right	0	1.086	b,o	Exp - Hard 1	1	
13	left	1	0.738	B,o	Con - Easy 1	1	
14	left	1	0.690	B,o	Con - Easy 2	1	
15	right	1	0.638	O,b	Con - Easy 1	1	
16	left	1	1.083	b,o	Exp - Hard 2	1	
17	left	0	3.042	o,b	Exp - Hard 1	1	
18	right	1	0.729	O,b	Con - Easy 1	1	
19	right	1	0.681	o,b	Exp - Hard 1	1	
20	right	1	0.727	o,b	Exp - Hard 1	1	
21	left	1	0.862	b,o	Exp - Hard 2	1	
22	right	1	0.673	o,b	Exp - Hard 2	1	
23	left	1	0.571	B,o	Con - Easy 1	1	
24	right	1	0.759	o,b	Exp - Hard 2	1	
25	right	1	0.763	O,b	Con - Easy 2	1	
26	right	1	1.277	o,b	Exp - Hard 2	1	
27	left	1	1.166	b,o	Exp - Hard 1	1	
28	left	1	1.426	B,o	Con - Easy 1	1	
29	left	1	0.889	b,o	Exp - Hard 1	1	
30	right	1	0.618	o,b	Exp - Hard 2	1	
31	left	1	0.629	B,o	Con - Easy 2	1	
32	left	1	0.658	B,o	Con - Easy 2	1	
33	right	1	0.910	o,b	Exp - Hard 1	1	
34	left	1	0.518	B,o	Con - Easy 2	1	
35	right	1	0.806	O,b	Con - Easy 1	1	
36	right	1	1.000	O,b	Con - Easy 1	1	
37	left	0	1.085	o,b	Exp - Hard 1	1	
38	right	1	1.541	o,b	Exp - Hard 2	1	
39	left	1	0.578	B,o	Con - Easy 1	1	
40	left	1	0.752	b,o	Exp - Hard 2	1	
1	right	1	1.419	o1,b1	Exp - Hard 1 & Hard 1	
2	left	1	0.815	b2,B2	Con - Hard 2 & Easy 2	
3	left	1	0.941	B1,B1	Exp - Easy 1 & Easy 1	
4	right	1	1.673	o2,b2	Exp - Hard 2 & Hard 2	
5	right	1	2.450	o1,B1	Con - Hard 1 & Easy 1	
6	right	1	1.318	O2,B2	Exp - Easy 2 & Easy 2	
7	left	0	1.789	B1,o1	Con - Easy 1 & Hard 1	
8	right	1	0.946	O1,B1	Exp - Easy 1 & Easy 1	
9	right	1	0.948	B2,o2	Con - Easy 2 & Hard 2	
10	left	0	1.114	B2,B2	Exp - Easy 2 & Easy 2	
11	left	1	0.970	b2,B2	Con - Hard 2 & Easy 2	
12	left	0	2.786	o2,B2	Con - Hard 2 & Easy 2	
13	left	1	1.724	b1,b1	Exp - Hard 1 & Hard 1	
14	right	1	1.505	B1,o1	Con - Easy 1 & Hard 1	
15	right	1	0.508	B1,o1	Con - Easy 1 & Hard 1	
16	left	1	2.744	b2,B2	Con - Hard 2 & Easy 2	
17	right	0	1.090	B2,b2	Con - Easy 2 & Hard 2	
18	right	1	0.764	B2,o2	Con - Easy 2 & Hard 2	
19	right	0	0.817	B1,b1	Con - Easy 1 & Hard 1	
20	left	1	1.360	B2,b2	Con - Easy 2 & Hard 2	
21	right	0	0.952	B2,b2	Con - Easy 2 & Hard 2	
22	left	0	0.926	O2,B2	Exp - Easy 2 & Easy 2	
23	right	1	0.701	O2,B2	Exp - Easy 2 & Easy 2	
24	right	1	0.712	B2,o2	Con - Easy 2 & Hard 2	
