Trial Number, Response, Correct/Incorrect(1/0), RT, Condition, Difficulty, Colour Order (Single Grids Only)
1	left	1	1.390	O,b	Con - Easy 1	2	
2	left	0	0.956	b,o	Exp - Hard 1	2	
3	left	0	0.404	b,o	Exp - Hard 1	2	
4	left	1	0.619	O,b	Con - Easy 1	2	
5	left	0	0.389	B,o	Con - Easy 1	2	
6	left	0	0.573	B,o	Con - Easy 1	2	
7	left	0	0.288	B,o	Con - Easy 1	2	
8	left	1	0.273	O,b	Con - Easy 1	2	
9	right	1	0.541	B,o	Con - Easy 1	2	
10	left	0	0.322	b,o	Exp - Hard 1	2	
11	left	0	0.248	B,o	Con - Easy 1	2	
12	left	1	0.372	o,b	Exp - Hard 1	2	
13	left	0	0.389	b,o	Exp - Hard 1	2	
14	right	1	0.273	b,o	Exp - Hard 1	2	
15	left	1	0.208	o,b	Exp - Hard 1	2	
16	left	1	0.206	O,b	Con - Easy 1	2	
17	left	0	0.201	b,o	Exp - Hard 1	2	
18	left	1	0.363	O,b	Con - Easy 1	2	
19	right	1	0.020	B,o	Con - Easy 1	2	
20	left	0	0.284	b,o	Exp - Hard 1	2	
21	right	0	0.272	o,b	Exp - Hard 1	2	
22	left	0	0.206	b,o	Exp - Hard 1	2	
23	left	0	0.236	b,o	Exp - Hard 1	2	
24	left	1	0.689	O,b	Con - Easy 1	2	
25	left	1	0.535	o,b	Exp - Hard 1	2	
26	left	0	0.638	B,o	Con - Easy 1	2	
27	right	1	1.137	b,o	Exp - Hard 1	2	
28	left	1	0.341	o,b	Exp - Hard 1	2	
29	left	1	0.373	O,b	Con - Easy 1	2	
30	right	0	0.373	o,b	Exp - Hard 1	2	
31	left	0	0.472	B,o	Con - Easy 1	2	
32	right	0	1.008	o,b	Exp - Hard 1	2	
33	left	1	0.523	o,b	Exp - Hard 1	2	
34	right	1	0.288	B,o	Con - Easy 1	2	
35	left	1	0.926	O,b	Con - Easy 1	2	
36	left	0	0.689	B,o	Con - Easy 1	2	
37	left	1	0.431	O,b	Con - Easy 1	2	
38	left	1	0.706	O,b	Con - Easy 1	2	
39	left	1	0.204	o,b	Exp - Hard 1	2	
40	left	1	0.305	o,b	Exp - Hard 1	2	
1	left	1	1.007	o1,O1	Con - Hard 1 & Easy 1	
2	right	0	0.290	o1,O1	Con - Hard 1 & Easy 1	
3	right	1	0.139	O1,b1	Con - Easy 1 & Hard 1	
4	left	1	0.269	O1,o1	Con - Easy 1 & Hard 1	
5	left	1	0.356	O1,O1	Exp - Easy 1 & Easy 1	
6	right	1	0.221	O1,b1	Con - Easy 1 & Hard 1	
7	right	1	0.237	B1,O1	Exp - Easy 1 & Easy 1	
8	right	1	0.290	b1,o1	Exp - Hard 1 & Hard 1	
9	right	0	0.260	O1,O1	Exp - Easy 1 & Easy 1	
10	left	1	0.273	o1,o1	Exp - Hard 1 & Hard 1	
11	right	0	0.261	o1,o1	Exp - Hard 1 & Hard 1	
12	right	0	0.303	O1,o1	Con - Easy 1 & Hard 1	
13	right	1	0.427	B1,O1	Exp - Easy 1 & Easy 1	
14	left	1	0.053	o1,O1	Con - Hard 1 & Easy 1	
15	left	1	115.770	O1,O1	Exp - Easy 1 & Easy 1	
16	right	0	0.434	O1,o1	Con - Easy 1 & Hard 1	
17	right	1	1.912	O1,b1	Con - Easy 1 & Hard 1	
18	right	1	1.484	b1,o1	Exp - Hard 1 & Hard 1	
19	left	1	0.227	o1,O1	Con - Hard 1 & Easy 1	
20	left	1	0.272	O1,O1	Exp - Easy 1 & Easy 1	
21	right	0	2.150	O1,O1	Exp - Easy 1 & Easy 1	
22	right	1	2.896	b1,O1	Con - Hard 1 & Easy 1	
23	left	1	1.550	o1,o1	Exp - Hard 1 & Hard 1	
24	left	0	0.268	B1,O1	Exp - Easy 1 & Easy 1	
25	left	1	0.578	O1,o1	Con - Easy 1 & Hard 1	
26	left	0	1.855	b1,o1	Exp - Hard 1 & Hard 1	
27	left	1	0.127	O1,o1	Con - Easy 1 & Hard 1	
28	left	0	0.248	b1,O1	Con - Hard 1 & Easy 1	
29	right	1	0.299	O1,b1	Con - Easy 1 & Hard 1	
30	right	0	0.623	O1,O1	Exp - Easy 1 & Easy 1	
31	right	0	0.549	o1,O1	Con - Hard 1 & Easy 1	
32	left	0	0.463	b1,o1	Exp - Hard 1 & Hard 1	
33	right	1	0.769	b1,o1	Exp - Hard 1 & Hard 1	
34	right	0	0.332	o1,O1	Con - Hard 1 & Easy 1	
35	right	1	1.080	b1,O1	Con - Hard 1 & Easy 1	
36	right	0	1.594	O1,o1	Con - Easy 1 & Hard 1	
37	right	1	0.447	O1,b1	Con - Easy 1 & Hard 1	
38	right	1	2.307	b1,o1	Exp - Hard 1 & Hard 1	
39	right	1	0.790	b1,o1	Exp - Hard 1 & Hard 1	
40	right	1	0.342	b1,o1	Exp - Hard 1 & Hard 1	
41	right	0	0.289	O1,o1	Con - Easy 1 & Hard 1	
42	right	0	1.140	O1,O1	Exp - Easy 1 & Easy 1	
43	left	0	0.188	B1,O1	Exp - Easy 1 & Easy 1	
44	left	0	0.123	b1,O1	Con - Hard 1 & Easy 1	
45	right	0	0.139	o1,o1	Exp - Hard 1 & Hard 1	
46	right	0	0.095	o1,o1	Exp - Hard 1 & Hard 1	
47	left	0	0.040	b1,O1	Con - Hard 1 & Easy 1	
48	right	1	0.103	B1,O1	Exp - Easy 1 & Easy 1	
49	right	0	0.222	O1,O1	Exp - Easy 1 & Easy 1	
50	right	1	0.289	b1,o1	Exp - Hard 1 & Hard 1	
51	left	0	0.093	b1,O1	Con - Hard 1 & Easy 1	
52	right	0	0.207	O1,o1	Con - Easy 1 & Hard 1	
53	left	1	0.141	O1,o1	Con - Easy 1 & Hard 1	
54	right	0	0.239	O1,O1	Exp - Easy 1 & Easy 1	
55	left	0	0.222	b1,O1	Con - Hard 1 & Easy 1	
56	right	0	0.239	o1,O1	Con - Hard 1 & Easy 1	
57	left	1	0.206	O1,o1	Con - Easy 1 & Hard 1	
58	right	1	0.305	O1,b1	Con - Easy 1 & Hard 1	
59	right	1	0.206	b1,O1	Con - Hard 1 & Easy 1	
60	left	1	0.263	O1,o1	Con - Easy 1 & Hard 1	
61	right	1	0.242	b1,O1	Con - Hard 1 & Easy 1	
62	left	0	0.487	B1,O1	Exp - Easy 1 & Easy 1	
63	right	0	0.322	o1,O1	Con - Hard 1 & Easy 1	
64	right	1	0.023	B1,O1	Exp - Easy 1 & Easy 1	
65	left	0	0.256	B1,O1	Exp - Easy 1 & Easy 1	
66	left	0	0.222	O1,b1	Con - Easy 1 & Hard 1	
67	left	0	1.102	b1,O1	Con - Hard 1 & Easy 1	
68	left	1	0.205	o1,o1	Exp - Hard 1 & Hard 1	
69	right	1	0.056	b1,O1	Con - Hard 1 & Easy 1	
70	right	1	0.262	O1,b1	Con - Easy 1 & Hard 1	
71	left	0	0.854	B1,O1	Exp - Easy 1 & Easy 1	
72	left	1	0.056	o1,o1	Exp - Hard 1 & Hard 1	
73	left	0	0.223	b1,O1	Con - Hard 1 & Easy 1	
74	right	0	0.105	o1,o1	Exp - Hard 1 & Hard 1	
75	right	0	0.305	o1,o1	Exp - Hard 1 & Hard 1	
